date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:19	106/106	---MCZ	200	added ('OK')	text/plain	etag:W/%2263f9492e-8c%22	https://mega.io/robots.txt		(from )
14:51:19	85776/-1	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2009:21:19%20GMT	https://mega.io/	C:/Users/anees/Documents/notes/mega/mega.io/index.html	(from )
14:51:20	1887/1887	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2007%20Aug%202024%2009:19:52%20GMT	https://js.hs-scripts.com/43855380.js	C:/Users/anees/Documents/notes/mega/js.hs-scripts.com/43855380.js	(from https://mega.io/)
14:51:20	15431/15431	---M--	200	added ('OK')	image/png	etag:%2263fca8c3-3c47%22	https://mega.io/wp-content/uploads/2023/02/Preview-logo.png	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/uploads/2023/02/Preview-logo.png	(from https://mega.io/)
14:51:20	8076/8076	---MCZ	200	added ('OK')	text/css	etag:W/%2266ab25b3-1f8c%22	https://mega.io/wp-content/themes/megapages/megalib/css/fonts.css?ver=1722492339	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/themes/megapages/megalib/css/fontsa79f.css	(from https://mega.io/)
14:51:20	61589/61589	---MCZ	200	added ('OK')	text/css	etag:W/%2266ab25b3-f095%22	https://mega.io/wp-content/themes/megapages/megalib/css/theme.css?ver=1722492339	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/themes/megapages/megalib/css/themea79f.css	(from https://mega.io/)
14:51:21	24675/24675	---MCZ	200	added ('OK')	text/css	etag:W/%2266ab25b3-6063%22	https://mega.io/wp-content/themes/megapages/megalib/css/icons.css?ver=1722492339	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/themes/megapages/megalib/css/iconsa79f.css	(from https://mega.io/)
14:51:21	15579/15579	---MCZ	200	added ('OK')	text/css	etag:W/%2266ab25b3-3cdb%22	https://mega.io/wp-content/themes/megapages/megalib/css/buttons.css?ver=1722492339	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/themes/megapages/megalib/css/buttonsa79f.css	(from https://mega.io/)
14:51:22	35845/35845	---MCZ	200	added ('OK')	text/css	etag:W/%2266ab25b3-8c05%22	https://mega.io/wp-content/themes/megapages/megalib/css/common.css?ver=1722492339	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/themes/megapages/megalib/css/commona79f.css	(from https://mega.io/)
14:51:22	2238/2238	---MCZ	200	added ('OK')	text/css	etag:W/%2266ab25a9-8be%22	https://mega.io/wp-content/themes/megapages/blocks/animated-hero/block.css?ver=1722492329	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/themes/megapages/blocks/animated-hero/blockde6b.css	(from https://mega.io/)
14:51:22	5869/5869	---MCZ	200	added ('OK')	text/css	etag:W/%2266ab25a9-16ed%22	https://mega.io/wp-content/themes/megapages/assets/css/common.css?ver=1722492329	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/themes/megapages/assets/css/commonde6b.css	(from https://mega.io/)
14:51:22	1237/1237	---MCZ	200	added ('OK')	text/css	etag:W/%2266ab25a9-4d5%22	https://mega.io/wp-content/themes/megapages/blocks/simple-card/block.css?ver=1722492329	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/themes/megapages/blocks/simple-card/blockde6b.css	(from https://mega.io/)
14:51:22	1663/1663	---MCZ	200	added ('OK')	text/css	etag:W/%2266ab25a9-67f%22	https://mega.io/wp-content/themes/megapages/blocks/ft-simple-card-column/block.css?ver=1722492329	C:/Users/anees/Documents/notes/mega/mega.io/wp-content/themes/megapages/blocks/ft-simple-card-column/blockde6b.css	(from https://mega.io/)
